year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_Avg
1983,342.37,342.74,343.04,343.51,343.84,343.5,342.14,340.62,340.53,341.75,342.83,343.49,342.53
1984,344.32,344.82,344.96,345.19,345.33,344.57,343.2,342.21,342.13,342.99,344.16,345.0,344.07
1985,345.35,345.8,346.64,346.94,346.78,346.26,344.92,343.41,343.37,344.64,345.79,346.55,345.54
1986,347.11,347.34,347.71,348.22,348.32,347.76,346.29,344.92,344.86,346.03,347.3,347.76,346.97
1987,348.02,348.57,349.29,349.98,350.26,349.48,347.86,346.61,346.7,347.97,349.25,350.21,348.68
1988,350.91,351.47,351.85,352.3,352.46,351.76,350.28,349.1,349.27,350.44,351.61,352.46,351.16
1989,353.01,353.46,354.01,354.38,354.19,353.27,351.56,350.21,350.56,351.85,353.04,353.91,352.79
1990,354.46,354.87,355.2,355.5,355.4,354.33,352.71,351.59,351.8,353.19,354.43,355.18,354.06
1991,355.76,356.19,356.68,357.19,357.11,356.17,354.53,353.05,352.93,354.0,355.16,355.95,355.39
1992,356.52,356.88,357.26,357.75,357.82,356.87,355.19,353.68,353.58,354.8,355.98,356.74,356.09
1993,357.21,357.55,357.96,358.43,358.38,357.34,355.72,354.44,354.47,355.71,356.95,357.85,356.83
1994,358.48,359.01,359.36,359.71,359.74,358.81,357.27,356.06,356.02,357.26,358.69,359.55,358.33
1995,360.13,360.61,361.08,361.55,361.47,360.61,358.99,357.73,358.05,359.42,360.77,361.65,360.17
1996,362.14,362.5,362.82,363.14,363.29,362.88,361.57,360.07,359.7,360.67,361.78,362.63,361.93
1997,363.28,363.65,364.03,364.51,364.51,363.6,361.93,360.41,360.41,361.94,363.61,364.68,363.05
1998,365.19,365.46,365.93,366.58,366.86,366.26,364.84,363.79,364.04,365.34,366.6,367.47,365.7
1999,368.12,368.52,368.91,369.3,369.21,368.36,366.69,365.32,365.44,366.75,368.05,368.88,367.8
2000,369.39,369.65,369.97,370.35,370.24,369.31,367.91,366.76,366.71,367.91,369.28,370.1,368.96
2001,370.69,371.18,371.59,371.9,371.76,370.82,369.45,368.32,368.36,369.71,371.05,371.97,370.57
2002,372.51,372.91,373.38,373.73,373.71,372.84,371.41,370.35,370.67,371.95,373.28,374.26,372.58
2003,374.94,375.47,375.92,376.4,376.55,375.72,374.17,372.93,373.11,374.39,375.67,376.53,375.15
2004,377.21,377.73,378.16,378.47,378.4,377.51,375.96,374.49,374.39,375.73,377.2,378.17,376.95
2005,378.73,379.27,379.87,380.32,380.42,379.6,377.94,376.73,376.76,378.07,379.53,380.53,378.98
2006,381.33,381.95,382.34,382.67,382.63,381.76,380.07,378.49,378.63,380.08,381.44,382.39,381.15
2007,383.03,383.55,384.02,384.28,384.13,383.26,381.55,380.29,380.68,382.1,383.45,384.46,382.9
2008,385.23,385.74,386.15,386.53,386.49,385.58,384.1,382.77,382.54,383.67,385.18,386.27,385.02
2009,387.03,387.48,387.71,387.99,387.95,386.96,385.01,383.63,383.93,385.49,386.94,387.84,386.5
2010,388.62,389.33,389.68,389.98,389.95,389.01,387.35,386.23,386.7,388.25,389.62,390.34,388.76
2011,390.85,391.28,391.67,392.05,392.07,391.13,389.19,387.86,388.26,389.83,391.2,392.04,390.62
2012,392.61,393.2,393.72,393.99,393.88,392.84,391.0,389.89,390.55,392.16,393.56,394.39,392.65
2013,395.07,395.69,396.29,396.74,396.75,395.96,394.47,393.24,393.21,394.51,395.97,396.88,395.4
2014,397.51,397.97,398.27,398.63,398.69,397.72,396.13,395.02,395.12,396.38,397.86,398.84,397.34
2015,399.56,400.12,400.57,400.96,400.91,400.06,398.38,397.07,397.34,398.8,400.36,401.66,399.65
2016,402.61,403.25,403.84,404.36,404.4,403.62,402.1,400.78,400.95,402.4,403.76,404.67,403.06
2017,405.33,405.91,406.32,406.6,406.64,405.85,404.11,402.57,402.66,404.16,405.7,406.75,405.22
2018,407.53,408.23,408.77,409.07,408.93,408.06,406.49,405.11,405.18,406.65,408.12,409.19,407.61
2019,409.92,410.34,410.89,411.33,411.34,410.53,408.88,407.65,407.92,409.44,410.87,411.76,410.07
2020,412.43,412.95,413.44,413.86,413.81,412.88,411.17,409.73,410.0,411.66,413.25,414.14,412.44
2021,414.74,415.2,415.49,415.81,416.01,415.2,413.45,412.15,412.38,413.83,415.58,416.61,414.7
2022,417.18,417.64,418.16,418.58,418.45,417.43,415.68,414.4,414.62,416.13,417.81,418.85,417.08
2023,419.33,419.65,419.99,420.45,420.49,419.53,417.9,416.72,417.1,418.76,420.34,421.51,419.31
